category,dataset,mu,sigma,mean-proba,median-proba,gender,gender.mu,gender.sigma,gender.mean-proba,gender.median-proba,autism.mu,autism.sigma,autism.mean-proba,autism.median-proba,95%CI.lower,gender.95%CI.lower,autism.95%CI.lower,95%CI.upper,gender.95%CI.upper,autism.95%CI.upper
cisgender-males,MU,-2.6935404496778217,0.5303692340698629,0.07785597079833208,0.06764103525665144,trans+nb,-4.932133419691423,0.276953771553729,0.007493032247674443,0.007211102550927979,-4.258596595708118,0.21238638039737184,0.014464721293018824,0.014142135623730958,0.02391943074533702,0.004,0.01,0.19128003919923964,0.013,0.02
cisgender-males,MU,-4.39159936763725,0.49389060853940925,0.01398688182642636,0.012380911747386843,cis,-4.932133419691423,0.276953771553729,0.007493032247674443,0.007211102550927979,-4.258596595708118,0.21238638039737184,0.014464721293018824,0.014142135623730958,0.0047026694642930645,0.004,0.01,0.03259573671092034,0.013,0.02
cisgender-males,IMAGE,-2.5349657965518664,0.5599504122862572,0.0927179152613899,0.07926443033519913,trans+nb,-4.932133419691423,0.276953771553729,0.007493032247674443,0.007211102550927979,-4.258596595708118,0.21238638039737184,0.014464721293018824,0.014142135623730958,0.026450807161703182,0.004,0.01,0.23752961026687547,0.013,0.02
cisgender-males,IMAGE,-4.39159936763725,0.49389060853940925,0.01398688182642636,0.012380911747386843,cis,-4.932133419691423,0.276953771553729,0.007493032247674443,0.007211102550927979,-4.258596595708118,0.21238638039737184,0.014464721293018824,0.014142135623730958,0.0047026694642930645,0.004,0.01,0.03259573671092034,0.013,0.02
cisgender-males,APHS,-2.8806070452882215,0.5475293615486254,0.0651728150286706,0.05610069683169908,trans+nb,-4.932133419691423,0.276953771553729,0.007493032247674443,0.007211102550927979,-4.258596595708118,0.21238638039737184,0.014464721293018824,0.014142135623730958,0.019182351911459207,0.004,0.01,0.1640720699697974,0.013,0.02
cisgender-males,APHS,-4.39159936763725,0.49389060853940925,0.01398688182642636,0.012380911747386843,cis,-4.932133419691423,0.276953771553729,0.007493032247674443,0.007211102550927979,-4.258596595708118,0.21238638039737184,0.014464721293018824,0.014142135623730958,0.0047026694642930645,0.004,0.01,0.03259573671092034,0.013,0.02
cisgender-males,LifeLines,-3.103860193651056,0.6299065615422006,0.05472311640115185,0.04487563895825228,trans+nb,-4.932133419691423,0.276953771553729,0.007493032247674443,0.007211102550927979,-4.258596595708118,0.21238638039737184,0.014464721293018824,0.014142135623730958,0.013056397254252769,0.004,0.01,0.154240326232067,0.013,0.02
cisgender-males,LifeLines,-4.39159936763725,0.49389060853940925,0.01398688182642636,0.012380911747386843,cis,-4.932133419691423,0.276953771553729,0.007493032247674443,0.007211102550927979,-4.258596595708118,0.21238638039737184,0.014464721293018824,0.014142135623730958,0.0047026694642930645,0.004,0.01,0.03259573671092034,0.013,0.02
cisgender-females,MU,-2.1061857888544773,0.5313170293845685,0.1401507155199763,0.12170127665602563,trans+nb,-4.932133419691423,0.276953771553729,0.007493032247674443,0.007211102550927979,-4.258596595708118,0.21238638039737184,0.014464721293018824,0.014142135623730958,0.042956505875942276,0.004,0.01,0.3447952862479319,0.013,0.02
cisgender-females,MU,-4.39159936763725,0.49389060853940925,0.01398688182642636,0.012380911747386843,cis,-4.932133419691423,0.276953771553729,0.007493032247674443,0.007211102550927979,-4.258596595708118,0.21238638039737184,0.014464721293018824,0.014142135623730958,0.0047026694642930645,0.004,0.01,0.03259573671092034,0.013,0.02
cisgender-females,IMAGE,-2.7077170248503726,0.5605058756496378,0.07803220861750053,0.06668888211741397,trans+nb,-4.932133419691423,0.276953771553729,0.007493032247674443,0.007211102550927979,-4.258596595708118,0.21238638039737184,0.014464721293018824,0.014142135623730958,0.022230089139863785,0.004,0.01,0.20006249053203698,0.013,0.02
cisgender-females,IMAGE,-4.39159936763725,0.49389060853940925,0.01398688182642636,0.012380911747386843,cis,-4.932133419691423,0.276953771553729,0.007493032247674443,0.007211102550927979,-4.258596595708118,0.21238638039737184,0.014464721293018824,0.014142135623730958,0.0047026694642930645,0.004,0.01,0.03259573671092034,0.013,0.02
cisgender-females,APHS,-2.4795610446251963,0.5463332063000869,0.09726451447964275,0.08377999320025227,trans+nb,-4.932133419691423,0.276953771553729,0.007493032247674443,0.007211102550927979,-4.258596595708118,0.21238638039737184,0.014464721293018824,0.014142135623730958,0.028713894944374225,0.004,0.01,0.24444915168185954,0.013,0.02
cisgender-females,APHS,-4.39159936763725,0.49389060853940925,0.01398688182642636,0.012380911747386843,cis,-4.932133419691423,0.276953771553729,0.007493032247674443,0.007211102550927979,-4.258596595708118,0.21238638039737184,0.014464721293018824,0.014142135623730958,0.0047026694642930645,0.004,0.01,0.03259573671092034,0.013,0.02
cisgender-females,LifeLines,-2.4630324777681887,0.6230899755272942,0.1034246532856208,0.08517626380765571,trans+nb,-4.932133419691423,0.276953771553729,0.007493032247674443,0.007211102550927979,-4.258596595708118,0.21238638039737184,0.014464721293018824,0.014142135623730958,0.025115029434255864,0.004,0.01,0.288870691361239,0.013,0.02
cisgender-females,LifeLines,-4.39159936763725,0.49389060853940925,0.01398688182642636,0.012380911747386843,cis,-4.932133419691423,0.276953771553729,0.007493032247674443,0.007211102550927979,-4.258596595708118,0.21238638039737184,0.014464721293018824,0.014142135623730958,0.0047026694642930645,0.004,0.01,0.03259573671092034,0.013,0.02
cisgender-individuals-altogether,MU,-2.4446291186985594,0.5298747877200101,0.0998340997295052,0.08675830596896728,trans+nb,-4.932133419691423,0.276953771553729,0.007493032247674443,0.007211102550927979,-4.258596595708118,0.21238638039737184,0.014464721293018824,0.014142135623730958,0.030709485363049724,0.004,0.01,0.24510354262274897,0.013,0.02
cisgender-individuals-altogether,MU,-4.39159936763725,0.49389060853940925,0.01398688182642636,0.012380911747386843,cis,-4.932133419691423,0.276953771553729,0.007493032247674443,0.007211102550927979,-4.258596595708118,0.21238638039737184,0.014464721293018824,0.014142135623730958,0.0047026694642930645,0.004,0.01,0.03259573671092034,0.013,0.02
cisgender-individuals-altogether,IMAGE,-2.610077325003888,0.5585753978560621,0.0859427340678718,0.07352885792400632,trans+nb,-4.932133419691423,0.276953771553729,0.007493032247674443,0.007211102550927979,-4.258596595708118,0.21238638039737184,0.014464721293018824,0.014142135623730958,0.024603043976868078,0.004,0.01,0.21974894458961755,0.013,0.02
cisgender-individuals-altogether,IMAGE,-4.39159936763725,0.49389060853940925,0.01398688182642636,0.012380911747386843,cis,-4.932133419691423,0.276953771553729,0.007493032247674443,0.007211102550927979,-4.258596595708118,0.21238638039737184,0.014464721293018824,0.014142135623730958,0.0047026694642930645,0.004,0.01,0.03259573671092034,0.013,0.02
cisgender-individuals-altogether,APHS,-2.622908408511164,0.5455848330107667,0.08424070826349311,0.07259142997714156,trans+nb,-4.932133419691423,0.276953771553729,0.007493032247674443,0.007211102550927979,-4.258596595708118,0.21238638039737184,0.014464721293018824,0.014142135623730958,0.024915761564438414,0.004,0.01,0.21149326270834454,0.013,0.02
cisgender-individuals-altogether,APHS,-4.39159936763725,0.49389060853940925,0.01398688182642636,0.012380911747386843,cis,-4.932133419691423,0.276953771553729,0.007493032247674443,0.007211102550927979,-4.258596595708118,0.21238638039737184,0.014464721293018824,0.014142135623730958,0.0047026694642930645,0.004,0.01,0.03259573671092034,0.013,0.02
cisgender-individuals-altogether,LifeLines,-2.751896205333133,0.6294196740437779,0.07778461310977598,0.0638067557120812,trans+nb,-4.932133419691423,0.276953771553729,0.007493032247674443,0.007211102550927979,-4.258596595708118,0.21238638039737184,0.014464721293018824,0.014142135623730958,0.018582058390386135,0.004,0.01,0.21909855135357834,0.013,0.02
cisgender-individuals-altogether,LifeLines,-4.39159936763725,0.49389060853940925,0.01398688182642636,0.012380911747386843,cis,-4.932133419691423,0.276953771553729,0.007493032247674443,0.007211102550927979,-4.258596595708118,0.21238638039737184,0.014464721293018824,0.014142135623730958,0.0047026694642930645,0.004,0.01,0.03259573671092034,0.013,0.02
trans-given-autism,C4,-2.85234451763147,0.5056084847819726,0.06557737422123183,0.05770886269875652,trans+nb,-4.932133419691423,0.276953771553729,0.007493032247674443,0.007211102550927979,-4.258596595708118,0.21238638039737184,0.014464721293018824,0.014142135623730958,0.021421993569878388,0.004,0.01,0.15546232068086824,0.013,0.02
